stores,,,,,,,,,,,,,,,,
MONTH,CITY,STORE,STATUS,ZONE MAPPING,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT
Oct-2023,Ahmedabad,Ramos-Martin,Inactive,West,14270,6554333.68,1163493.98,5434068.17,1763679.62,3614747.39,2374914.55,29664.62,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Nov-2023,Ahmedabad,Ramos-Martin,Inactive,West,8528,2637625.82,636015.27,2146679.55,638415.3,1414249,151761.82,11769.85,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Dec-2023,Ahmedabad,Ramos-Martin,Inactive,West,10798,4364193.67,1283840.18,3188606.71,1085080.58,2036999.44,736811.76,23376.83,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Jan-2024,Ahmedabad,Ramos-Martin,Inactive,West,7804,3479969.32,854797.46,2734306.33,1180892.5,1451140.55,229924.26,26162.41,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Feb-2024,Ahmedabad,Ramos-Martin,Inactive,West,10060,4771378.71,1290900.38,3602124.88,1114846.94,2394567.16,1114151.65,19944.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Mar-2024,Ahmedabad,Ramos-Martin,Inactive,West,14280,4706936.27,1410485.57,3340397.87,1428327.36,1817292.19,476456.13,14404.82,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Oct-2023,Pune,Burke-Johnson,Inactive,North,8369,3367841.36,619596.48,2837141.55,1006918.91,1687753.28,284603.87,25597.51,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Nov-2023,Pune,Burke-Johnson,Inactive,North,10991,5167810.92,1500449.35,3770663.65,1300145.07,2371957.2,1050903.83,19734.84,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%
Dec-2023,Pune,Burke-Johnson,Inactive,North,12895,5496206.52,1479698.04,4080783.22,1218795.04,2794277.11,1214628.03,28723.1,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Jan-2024,Pune,Burke-Johnson,Inactive,North,7569,3678559.48,590638.41,3142931.96,1442605,1579435.86,347215.03,23440.52,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%
Feb-2024,Pune,Burke-Johnson,Inactive,North,11146,4381711.1,1013913.47,3425425.48,1089716.58,2208709.54,933086.35,29252.97,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%
Mar-2024,Pune,Burke-Johnson,Inactive,North,9838,3794151.56,960963.68,2874080.55,1371007.42,1401403.5,117905.37,16926.09,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Oct-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,14421,5577614.93,1170048.13,4483468.22,2065873.71,2351301.07,1050945.26,12015.56,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Nov-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,10969,3376177.32,819526.81,2644431.32,1013370.81,1546226.85,159944.35,24798.18,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Dec-2023,Ahmedabad,"Montoya, Wood and Miller",Active,West,9914,3178674.01,907139.32,2365666.17,1081522.81,1202212,-261736.42,27754.08,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%
Jan-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11330,4998414.14,1476020.66,3620911.06,1327698.47,2228552.11,801787.76,15073.64,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%
Feb-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,11849,4665331.99,739200.82,4062250.34,1470036.08,2455354.35,1105067.24,21686.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Mar-2024,Ahmedabad,"Montoya, Wood and Miller",Active,West,9703,4341317.63,1247209.12,3132695.53,1320585.78,1739170.28,537696.83,27533.23,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Oct-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14418,4455792.56,685991.75,3830318.81,1853963.93,1842522.01,401871.45,22123.49,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Nov-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,12565,5976468.54,1575097.51,4503951.14,1587267.59,2769886.17,1315242.73,20948.93,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Dec-2023,Bangalore,"Price, Blevins and Kim",Inactive,North,14648,6690189.87,1401470.46,5361176.63,1852339.91,3360833.46,2137141.69,13845.78,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Jan-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,14570,6765697.92,1365063.41,5505983.64,1756495.56,3667329.8,2350484.37,24410.32,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Feb-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,13809,4244011.67,797303.55,3511048.4,1390623.26,2043500.82,759968.87,12551.61,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Mar-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,9472,3480859.28,991860.79,2567561.09,853542.67,1615237.44,208088.25,26417.23,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Oct-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,11289,4643759.26,1094728.65,3616787.42,1229669.88,2276055.54,1072785.79,19431.52,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Nov-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,9038,4147157.61,688448.43,3582637.27,1289983.3,2170494.31,741013.81,22482.03,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Dec-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,12984,5836592.04,1315614.88,4629289.63,1455473.21,3061045.61,1677037.5,26425.15,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Jan-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14326,5383199.55,1176498.44,4296415.95,1266619.08,2923246.04,1498733.71,28375.01,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%
Feb-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14300,6928348.23,1774251.57,5262559.31,2494037.5,2707198.01,1313916.1,16926.92,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Mar-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,10281,4072996.99,1172079.05,2969557.18,887081.7,1954425.91,647594.81,19364.64,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Oct-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10376,3188647.87,704085.47,2574624.99,940559.68,1568541.29,219837.94,12082.17,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%
Nov-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10310,4267192.53,1208123.59,3197252.36,1497202.46,1635941.72,329574.78,26613.09,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Dec-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7804,2980209.71,693813.91,2398553.71,904601.84,1363966.34,101722.41,15481.1,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%
Jan-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,14184,5404807.78,1214026.49,4256906.66,1461225.1,2696254.17,1297672.79,28986.14,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,11150,4824986.7,1401776.66,3479490.15,1358792.01,2037273.75,759698.08,12736.37,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Mar-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7329,3210923.19,732716.94,2595087.22,1052324.42,1402426.42,89210.96,24901.29,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Oct-2023,Mumbai,Bailey Inc,Active,North,9419,4416662.16,873903.17,3583341.94,1549617.88,1911247.38,546816.39,29958.68,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Nov-2023,Mumbai,Bailey Inc,Active,North,11124,5044040.51,1060709.45,4118934.08,1524382.92,2520673.45,1297132.64,27582.37,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%
Dec-2023,Mumbai,Bailey Inc,Active,North,12421,5218803.5,1490274.2,3800285.2,1723616.73,2021973.93,593259.44,22458.75,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Jan-2024,Mumbai,Bailey Inc,Active,North,7892,3215160.43,768233.62,2519758.05,1196721,1192085.44,-88668.46,26493.62,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%
Feb-2024,Mumbai,Bailey Inc,Active,North,8591,3714940.86,860257.1,2942939.44,939439.42,1929631.02,484621.92,13862.66,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Mumbai,Bailey Inc,Active,North,12644,5353284.79,1590878.07,3854964.19,1694578.06,2014086.93,614591.54,29377.56,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Oct-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,10747,4615994.79,1103958.45,3604570.96,1052070.84,2455646.18,950537.86,29290.41,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Nov-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8682,3080747.28,916820.06,2208132.57,799837.21,1310974.37,-204707.75,23711.31,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%
Dec-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8763,3607574.05,663184.02,3052380.21,966092.96,1968241.59,443998.81,25516.09,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Jan-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,11337,4141318.37,942799.07,3241757.49,1317276.92,1794421.9,563602.76,27896.33,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Feb-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7899,3313592.37,886634.09,2525683.07,1038077.34,1376031.53,95872.23,14071.57,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Mar-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7902,3101729.32,869231.34,2310044.01,680080.85,1522095.62,100781.72,13593.66,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%
Oct-2023,Pune,"Green, Howard and Campbell",Inactive,East,7939,2973709.07,674711.63,2360087.15,951668.06,1348892.94,48552.37,18988.68,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Nov-2023,Pune,"Green, Howard and Campbell",Inactive,East,12895,5460116.92,1397880.47,4180511.16,1899156.83,2172818.89,943417.07,29302.37,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Dec-2023,Pune,"Green, Howard and Campbell",Inactive,East,14978,4545462.9,902136.2,3717773.22,1175853.75,2477565.23,1122814.79,25370.39,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Jan-2024,Pune,"Green, Howard and Campbell",Inactive,East,7986,3882711.26,983991.68,2974597.4,1244576.61,1675199.59,134168.89,20889.78,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%
